1;1;14;DONALD;Zieht sich an.;;"INSERT INTO `play_textbooks` (`id`, `play_id`, `scene_id`, `linenumber`, `said_by`, `text`, `following_stage_direction`, `created_at`, `updated_at`, `deleted_at`) VALUES (NULL, '1', '1', '14', 'DONALD', 'Zieht sich an.',null, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP, NULL);"
1;1;15;BOB;Ah. Danke. (Sie stehen herum) Das Fußballspiel – vorgestern – toll.;;"INSERT INTO `play_textbooks` (`id`, `play_id`, `scene_id`, `linenumber`, `said_by`, `text`, `following_stage_direction`, `created_at`, `updated_at`, `deleted_at`) VALUES (NULL, '1', '1', '15', 'BOB', 'Ah. Danke. (Sie stehen herum) Das Fußballspiel – vorgestern – toll.',null, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP, NULL);"
1;1;16;DONALD;Ja.;;"INSERT INTO `play_textbooks` (`id`, `play_id`, `scene_id`, `linenumber`, `said_by`, `text`, `following_stage_direction`, `created_at`, `updated_at`, `deleted_at`) VALUES (NULL, '1', '1', '16', 'DONALD', 'Ja.',null, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP, NULL);"
1;1;17;BOB;Ja. (sie stehen herum) Na ja, ist ja noch nicht spät. (sie stehen herum);;"INSERT INTO `play_textbooks` (`id`, `play_id`, `scene_id`, `linenumber`, `said_by`, `text`, `following_stage_direction`, `created_at`, `updated_at`, `deleted_at`) VALUES (NULL, '1', '1', '17', 'BOB', 'Ja. (sie stehen herum) Na ja, ist ja noch nicht spät. (sie stehen herum)',null, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP, NULL);"
1;1;18;DONALD;Ist das überhaupt erlaubt, was Sie da machen?;;"INSERT INTO `play_textbooks` (`id`, `play_id`, `scene_id`, `linenumber`, `said_by`, `text`, `following_stage_direction`, `created_at`, `updated_at`, `deleted_at`) VALUES (NULL, '1', '1', '18', 'DONALD', 'Ist das überhaupt erlaubt, was Sie da machen?',null, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP, NULL);"
1;1;19;BOB;Oh ja. Sogar mit Lizenz. Nicht wie bei diesen „Charmante Begleitung – für Sie/für Ihn“ – Kleinanzeigen. Nein, nein. Unsere Kunden sind meist ältere Damen, die einen Schutzengel brauchen. Um in die Oper zu gehen oder ins Ballett oder so. Gestern war ich in Oper. „Tristan und Isolde“. War toll. Haben Sie´s je gesehen?;;"INSERT INTO `play_textbooks` (`id`, `play_id`, `scene_id`, `linenumber`, `said_by`, `text`, `following_stage_direction`, `created_at`, `updated_at`, `deleted_at`) VALUES (NULL, '1', '1', '19', 'BOB', 'Oh ja. Sogar mit Lizenz. Nicht wie bei diesen „Charmante Begleitung – für Sie/für Ihn“ – Kleinanzeigen. Nein, nein. Unsere Kunden sind meist ältere Damen, die einen Schutzengel brauchen. Um in die Oper zu gehen oder ins Ballett oder so. Gestern war ich in Oper. „Tristan und Isolde“. War toll. Haben Sie´s je gesehen?',null, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP, NULL);"
1;1;20;DONALD;Nicht, dass ich wüsste.;;"INSERT INTO `play_textbooks` (`id`, `play_id`, `scene_id`, `linenumber`, `said_by`, `text`, `following_stage_direction`, `created_at`, `updated_at`, `deleted_at`) VALUES (NULL, '1', '1', '20', 'DONALD', 'Nicht, dass ich wüsste.',null, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP, NULL);"
1;1;21;BOB;Also – toll. Lang, aber toll.;;"INSERT INTO `play_textbooks` (`id`, `play_id`, `scene_id`, `linenumber`, `said_by`, `text`, `following_stage_direction`, `created_at`, `updated_at`, `deleted_at`) VALUES (NULL, '1', '1', '21', 'BOB', 'Also – toll. Lang, aber toll.',null, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP, NULL);"
1;1;22;DONALD;Machen Sie – sowas öfter?;;"INSERT INTO `play_textbooks` (`id`, `play_id`, `scene_id`, `linenumber`, `said_by`, `text`, `following_stage_direction`, `created_at`, `updated_at`, `deleted_at`) VALUES (NULL, '1', '1', '22', 'DONALD', 'Machen Sie – sowas öfter?',null, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP, NULL);"
1;1;23;BOB;Mal nachrechnen. Mit der der Oper – gestern Abend – ist das mein zweiter Job.;;"INSERT INTO `play_textbooks` (`id`, `play_id`, `scene_id`, `linenumber`, `said_by`, `text`, `following_stage_direction`, `created_at`, `updated_at`, `deleted_at`) VALUES (NULL, '1', '1', '23', 'BOB', 'Mal nachrechnen. Mit der der Oper – gestern Abend – ist das mein zweiter Job.',null, CURRENT_TIMESTAMP, CURRENT_TIMESTAMP, NULL);"
